,0,1,2
0,1911340.1211166498,2036626.6507770668,2430324.120452258
1,2171689.3444537856,6212328.763795683,31722619.568883564
2,23839870.25448172,20077084.610737577,10395339.368427929
3,12143114.818700746,14566564.356361022,13553819.061795134
4,39083148.25181279,10162226.6847067,11243517.111249406
5,8434403.55449576,20324162.561748985,6302825.365684503
6,16793912.993533783,28916638.594272103,20881797.241037194
7,8179120.243595945,4437515.470534736,6798937.927809822
8,15534411.431514304,21645674.883202523,11289169.627493976
9,15072608.816983357,33638383.31116578,2058888.9439211686
10,15051936.025049303,7106451.287901049,24506503.13323393
11,5689945.615806889,14415160.044809597,7131114.339384299
12,23968807.744193196,26234222.791222107,36472388.10533669
13,26991298.099488813,30932650.421793167,23558624.057478853
14,18365618.093605734,3782009.2690864517,34284110.66460997
15,12562441.066391466,20109681.09410536,29786707.65199519
16,1974215.31056619,2914540.5985224494,30615924.65287527
17,2331795.2159112017,43882225.19320544,2351376.9264817378
18,14797096.420941358,12992699.872905897,3273406.3097498687
19,50201218.0255932,11992987.322758753,13955824.240188984
20,23581354.13041495,13128506.44736848,34825190.54777673
21,10871223.593045883,14842158.234059792,7538393.232833946
22,1807744.3756058875,13545835.83341606,24694926.805762496
23,17211429.96383994,37503381.540023446,43512118.68897353
24,13777006.96845162,22792271.54798232,13823312.040755525
25,10888285.704277858,10205206.819914185,20902506.3915641
26,24250645.51601945,9236145.3487458,2944788.772996872
27,7756163.765540139,14548048.204220578,13286795.590769142
28,26934328.75725346,32682394.518074684,12055780.730847992
29,15683351.073550597,13536962.470541513,7133547.810755798
30,23695295.118733406,14153499.389588358,32205440.18688139
31,43370383.249926776,15059759.08003049,32115793.54841104
32,17331141.02299243,20943151.233200546,5699436.346515419
33,16110544.100974623,10725286.3053252,29955301.3219309
34,59821431.52906078,6189988.324207963,16373500.311793955
35,20058933.689219583,47717012.1523176,29683734.40531268
36,15505823.048836479,29200482.32022059,16973608.589031614
37,184227295.11300123,134709135.81049505,201703939.69684196
38,376409882.1449088,268964531.109767,400909323.64516914
39,17990076.423549563,48288043.68028891,37510161.84698901
40,366747075.86545706,672174625.2731646,355830816.8898092
41,175671013.83963516,216970928.21194756,185992229.50701895
42,36819919.549150914,12885300.35480496,53643741.697721615
43,3140543.1606250037,23047307.36921601,9279033.076758072
44,10615475.247697677,47875050.434692204,23608506.897849157
45,10701898.136529185,30021563.826089356,32027657.82828271
46,9434859.205433756,2136863.751126285,23997058.70555993
47,18990544.304590613,28140693.060319617,5356635.028183072
48,3084226.0798419025,2072251.0078211105,2607055.3487248137
49,11707600.474747462,23715551.798638944,12787035.40037205
50,7408452.2749158675,21144606.86816256,30027743.711177967
51,6010870.112513783,24448404.95777771,15621150.310446225
52,3125386.750767205,36307797.79375307,26944117.63235083
53,7724990.101020166,22857774.656291254,2294904.1441339906
54,15096520.447141888,31739257.004479785,8022498.357576415
55,35352219.12350912,30622381.696864683,29311100.96502192
56,17747471.02843163,10198642.856238909,45201848.10705812
57,35000844.596135035,19557870.943232782,38543442.04318815
